epoch; counter; processing time; losses discriminator; losses generator;
1; 1; 7.4; 0.573; 0.677;
1; 2; 9.2; 0.585; 0.708;
1; 3; 7.6; 0.593; 0.718;
1; 4; 7.7; 0.613; 0.738;
1; 5; 8.4; 0.611; 0.734;
1; 6; 9.2; 0.601; 0.723;
1; 7; 8.3; 0.558; 0.709;
1; 8; 7.9; 0.588; 0.692;
1; 9; 14.7; 0.595; 0.667;
1; 10; 7.4; 0.653; 0.675;
1; 11; 7.3; 0.603; 0.709;
1; 12; 7.3; 0.561; 0.736;
1; 13; 9.5; 0.542; 0.765;
1; 14; 7.6; 0.568; 0.802;
1; 15; 8.7; 0.598; 0.852;
1; 16; 8.8; 0.505; 0.879;
1; 17; 8.7; 0.505; 0.911;
1; 18; 8.3; 0.457; 0.948;
1; 19; 9.6; 0.644; 0.937;
1; 20; 11.6; 0.719; 0.903;
1; 21; 10.1; 0.475; 0.886;
1; 22; 9.3; 0.72; 0.821;
1; 23; 9.1; 0.445; 0.777;
1; 24; 8.3; 0.483; 0.745;
1; 25; 8.0; 0.606; 0.702;
1; 26; 8.2; 0.591; 0.668;
1; 27; 10.2; 0.534; 0.647;
1; 28; 9.4; 0.478; 0.659;
1; 29; 11.0; 0.724; 0.639;
1; 30; 13.2; 0.659; 0.607;
1; 31; 7.9; 0.557; 0.606;
1; 32; 8.2; 0.473; 0.636;
1; 33; 8.0; 0.662; 0.648;
1; 34; 7.9; 0.706; 0.627;
1; 35; 8.3; 0.573; 0.624;
1; 36; 8.0; 0.505; 0.646;
1; 37; 8.5; 0.467; 0.699;
1; 38; 8.5; 0.66; 0.728;
1; 39; 8.6; 0.416; 0.779;
1; 40; 11.3; 0.406; 0.853;
1; 41; 12.3; 0.492; 0.913;
1; 42; 11.5; 0.371; 0.969;
1; 43; 12.6; 0.342; 1.036;
1; 44; 11.9; 0.42; 1.077;
1; 45; 11.0; 0.288; 1.127;
1; 1; 7.0; 0.532; 0.668; 
1; 2; 6.9; 0.61; 0.579; 
1; 3; 7.9; 0.631; 0.556; 
1; 4; 7.8; 0.49; 0.637; 
1; 1; 7.7; 0.533; 0.67; 
1; 2; 6.9; 0.612; 0.582; 
1; 1; 7.1; 0.7; 0.744; 
1; 2; 6.8; 0.67; 0.804; 
1; 3; 7.1; 0.644; 0.867; 
1; 4; 6.6; 0.62; 0.934; 
1; 5; 6.7; 0.597; 1.008; 
1; 6; 6.8; 0.575; 1.094; 
1; 7; 6.7; 0.552; 1.192; 
1; 8; 7.0; 0.529; 1.31; 
1; 9; 7.3; 0.505; 1.447; 
1; 10; 7.9; 0.483; 1.602; 
1; 11; 7.7; 0.461; 1.779; 
1; 12; 7.8; 0.441; 1.977; 
1; 13; 8.0; 0.423; 2.194; 
1; 14; 8.8; 0.407; 2.425; 
1; 15; 8.6; 0.393; 2.672; 
1; 16; 8.5; 0.383; 2.897; 
1; 17; 8.6; 0.374; 3.131; 
1; 18; 8.3; 0.368; 3.321; 
1; 19; 8.3; 0.362; 3.494; 
1; 20; 8.5; 0.358; 3.609; 
1; 21; 8.6; 0.356; 3.666; 
1; 22; 9.1; 0.353; 3.675; 
1; 23; 9.4; 0.354; 3.524; 
1; 24; 12.0; 0.354; 3.388; 
1; 25; 8.3; 0.357; 3.16; 
1; 26; 8.3; 0.36; 2.932; 
1; 27; 8.2; 0.368; 2.634; 
1; 28; 7.8; 0.388; 2.227; 
1; 29; 7.8; 0.409; 1.904; 
1; 30; 8.0; 0.436; 1.618; 
1; 31; 8.3; 0.468; 1.368; 
1; 32; 8.3; 0.498; 1.197; 
1; 33; 8.2; 0.538; 1.005; 
1; 34; 8.9; 0.577; 0.857; 
1; 35; 8.6; 0.607; 0.766; 
1; 36; 8.1; 0.633; 0.691; 
1; 37; 7.9; 0.664; 0.62; 
1; 38; 8.1; 0.668; 0.606; 
1; 39; 8.9; 0.685; 0.573; 
1; 40; 8.8; 0.697; 0.552; 
1; 41; 7.9; 0.705; 0.54; 
1; 42; 15.1; 0.709; 0.536; 
1; 43; 7.7; 0.713; 0.531; 
1; 44; 7.8; 0.718; 0.529; 
1; 45; 8.9; 0.718; 0.532; 
1; 46; 8.4; 0.719; 0.535; 
1; 47; 7.7; 0.716; 0.541; 
1; 48; 8.8; 0.716; 0.549; 
1; 49; 8.7; 0.714; 0.554; 
1; 50; 7.9; 0.713; 0.564; 
1; 51; 8.4; 0.712; 0.57; 
1; 52; 8.9; 0.711; 0.576; 
1; 53; 9.2; 0.709; 0.583; 
1; 54; 8.5; 0.709; 0.587; 
1; 55; 8.5; 0.707; 0.594; 
1; 56; 8.6; 0.704; 0.6; 
1; 57; 8.4; 0.7; 0.608; 
1; 58; 8.8; 0.7; 0.61; 
1; 59; 11.1; 0.699; 0.615; 
1; 60; 11.1; 0.697; 0.621; 
1; 61; 11.2; 0.696; 0.624; 
1; 62; 9.4; 0.695; 0.63; 
1; 63; 10.9; 0.694; 0.634; 
1; 64; 9.8; 0.694; 0.636; 
1; 1; 6.9; 0.697; 0.754; 
1; 2; 6.8; 0.665; 0.828; 
1; 3; 6.4; 0.635; 0.905; 
1; 4; 6.5; 0.607; 0.989; 
1; 5; 6.5; 0.581; 1.085; 
1; 6; 6.7; 0.554; 1.194; 
1; 7; 7.1; 0.529; 1.316; 
1; 8; 7.2; 0.504; 1.458; 
1; 9; 7.3; 0.481; 1.617; 
1; 10; 7.6; 0.459; 1.798; 
1; 11; 7.6; 0.439; 1.995; 
1; 12; 9.0; 0.422; 2.207; 
1; 13; 14.3; 0.406; 2.438; 
1; 14; 7.1; 0.394; 2.674; 
1; 15; 7.2; 0.383; 2.91; 
1; 16; 7.3; 0.375; 3.129; 
